beta,gamma,alpha,l
0.0578732243168435,0.03645376884503358,0.9769045845813691,0.12497548650479307
0.06441370752317123,0.04310938467898075,0.9320178087408066,0.1620048299887653
0.05985558688510432,0.038135684989780184,0.9789048019838174,0.12623936675650238
0.05649372065583415,0.03458643201868756,0.9568616301575288,0.12183054876914134
0.07817613503573469,0.057329150385891044,0.8460752237790863,0.24365840365985447
0.05608257105614148,0.03383751227975899,0.8590415086312493,0.117381253812472
0.05297424646910489,0.03079236237653211,0.9440664030045188,0.09797163393890551
0.054569670234806134,0.032465004917735726,0.9969907427697534,0.11199346149298062
0.06747310393606924,0.046013131064193906,0.9105721031605969,0.17504581233072036
0.06161244666548034,0.039544942515335677,0.6630692813223356,0.14165672104055682
0.057322827270649544,0.03507087493662804,0.7150790685943387,0.11983857525181507
0.05434267997598592,0.03252713594400831,0.8677310243569182,0.11561048125493856
0.06197503084106996,0.03971803888291943,0.6684722134089395,0.1394719874004744
0.05402756050743974,0.031186445744874856,0.7570486166875603,0.1059302325460435
0.06733442745553357,0.04650311627181079,0.7969344793758677,0.19161241532184947
0.05686486795966972,0.03538065546131355,0.8550822289352601,0.1288007569423555
0.062007081708259894,0.039743940678973445,0.7528328365029261,0.14417476035735555
0.06557981698844242,0.04447395816454533,0.978489641038841,0.1494919787358081
0.06687382841557557,0.045010397244618305,0.8072053706282201,0.16108463688769548
0.05341914711775349,0.03108181186747941,0.9179605837081841,0.0967724993512642
0.05840705974000071,0.03703473532388769,0.8241439963166172,0.13255455344487566
0.059958098064775756,0.03856970485881179,0.8062886439913332,0.14754791333285378
0.06295354130979314,0.04241349200792588,0.9950974945677307,0.15931271926669743
0.05826381277901857,0.03563399749572987,0.5695325858241914,0.13321605006580517
0.0553306103618488,0.03385825668891186,0.915699354895928,0.12347871438730973
0.06763795511236007,0.04667479920583213,0.8867063631928465,0.19244521425683425
0.04869721375752523,0.02626462511701942,0.8683745104228732,0.08612141057175926
0.06424312491206591,0.043769255770072416,0.9746864943841143,0.1656545054246642
0.05152822246381059,0.028375322562422683,0.6911897852319747,0.0937128707017616
0.06674311406124266,0.045491510606415604,0.9455479898891164,0.15309066671859384
0.06681248223159977,0.045350130897712115,0.6825371906986772,0.16476098268631623
0.06064878841660314,0.0378182856234422,0.6439078029140057,0.1335191044634233
0.05709562149231488,0.03399733089693811,0.5117516875036616,0.12654563821012754
0.06676180961616814,0.045444650910080216,0.6368248671993977,0.1747012163589199
0.054818133889700915,0.032010603923722944,0.6941517784093916,0.11583704206724543
0.07126599561527475,0.05059915185087842,0.9313585547381605,0.2187457801127246
0.05205044256826387,0.029748887438225492,0.7101709743342439,0.10348029822619853
0.05677956574517806,0.033480368691218024,0.5872928824248151,0.11570227333709071
0.05321097571111164,0.03060574703239763,0.6914067562056767,0.10064117311552456
0.059701783410326656,0.03761212960451011,0.7193014545672537,0.12429014825771845
0.056781529935664196,0.033775287129279095,0.5697630515214875,0.12782136025582902
0.04926007362508751,0.027015511364176667,0.9601596106098421,0.0967800230155258
0.054632040598814956,0.03181226072797206,0.5638459073170546,0.12122097019882194
