Year,All,A,B,C1,C2
2004,19.4774054932275,3.8954810986455,11.6864432959365,3.8954810986455,0.00038954810986455
2005,23.6993446330295,0.000394989077217158,23.6993446330295,0.000394989077217158,0.000394989077217158
2006,33.6953147388148,12.6357430270555,16.8476573694074,4.21191434235185,0.000421191434235185
2007,25.2863395232543,4.21438992054239,8.42877984108478,4.21438992054239,8.42877984108478
2008,28.0966215767785,10.5362330912919,3.51207769709731,7.02415539419463,7.02415539419463
2009,46.33061209171,5.79132651146375,20.2696427901231,11.5826530229275,8.68698976719562
2010,39.9147729953442,15.3518357674401,12.2814686139521,9.21110146046405,3.07036715348802
2011,43.2028266465711,8.64056532931422,14.4009422155237,14.4009422155237,5.76037688620948
2012,51.5607749389219,23.6320218470059,8.59346248982032,8.59346248982032,10.7418281122754
2013,87.5907178063699,31.8511701114072,13.271320879753,21.2341134076048,21.2341134076048
2014,76.4768279820629,30.0444681358104,10.9252611402947,21.8505222805894,13.6565764253684
2015,75.9381920084937,10.1250922677992,17.7189114686485,22.7814576025481,25.3127306694979
2016,86.0675597953704,20.2511905400872,17.7197917225763,32.9081846276416,15.1883929050654
2017,87.5705984099953,21.3009563699989,23.6677292999987,26.0345022299986,16.5674105099991
