beta,gamma,alpha,l
0.05252641376390146,0.02963044353705744,0.8050598191960019,0.0935523871479449
0.0686518538055964,0.04761504939998439,0.8292857223315514,0.19972404847224512
0.06025302657829661,0.03865749282712499,0.9677115852725312,0.12242666567555882
0.056477634881952475,0.03388630731658307,0.9156108138733773,0.1126258403356114
0.05517513929067965,0.03263757286097211,0.915115147488714,0.10124371045746083
0.07667324584746091,0.05483432328492244,0.48485992885634754,0.25376440307168413
0.05091956824523675,0.02819198732056575,0.6801909290470977,0.10184115403966365
0.05727723745357673,0.03495016096337821,0.9096291692164101,0.1236703347428666
0.06237606001972712,0.04057233310245806,0.6960014486571057,0.1615352182406894
0.05849086583669494,0.03706482904242093,0.7610969695345535,0.13441543275012136
0.053701751414775234,0.03035686225291549,0.5709447163011163,0.11092269859201032
0.06371475601688407,0.041997814634008264,0.8654511884107164,0.1373674620572316
0.051101243427636826,0.027613057678631214,0.7106187313879024,0.08943471639722322
0.056326514405639114,0.033901216923716095,0.9241204565304333,0.10491398776021221
0.06151347946001731,0.03838168970613675,0.4985241627568361,0.14481081944612517
0.05769192059163679,0.03427879774323755,0.4990381854305953,0.12665343538535279
0.052155711962511876,0.030618052545876896,0.9330918108089689,0.10885876169696063
0.07332580548491262,0.051216745295542196,0.5265939193492495,0.22298416792496312
0.054140908434657874,0.031669615429250196,0.7465609992457913,0.11669794918434939
0.052398379825099844,0.03075652056461115,0.9973401164957798,0.11280218594223979
0.060586934892111755,0.038862791120703226,0.6588282459854481,0.13933448537832382
0.05036636024554469,0.028392008644204405,0.8670941200509951,0.10211840944207884
0.05434395616992127,0.0314111270490229,0.7083656629259433,0.11318943048510277
0.05214942127513749,0.02902740244141774,0.8937931117541933,0.09256007171410285
0.05123450851501364,0.029129375092436224,0.8612091086802467,0.1062794388520476
0.07299693577558816,0.05170326848497683,0.6223138399582857,0.23428180410241517
0.04732839524314568,0.023715007283200182,0.6441648923062777,0.07965069397447189
0.05985815458215451,0.03777429985476914,0.5380498294180218,0.1519496644192445
0.0571751894775264,0.034765268129036485,0.7764205089778077,0.1095087737999737
0.047544265825238845,0.0243225238374482,0.7242169370946158,0.07882089882767984
0.05901616208202329,0.03793782182556764,0.8293127255899689,0.14135141725465872
0.057302137004442734,0.0355893798659168,0.8976522178860282,0.11209845363492066
0.06499688149343058,0.04382969649964331,0.6301762700901942,0.17635627121568898
0.057022212231014786,0.035578711317239074,0.8215093738121454,0.12159803716718753
0.05026981182214227,0.02687438681521081,0.5302909483952988,0.10082894086146144
0.050745345883975584,0.0272600146681064,0.7668573715289299,0.08490490815405227
0.06757422201300652,0.04597848111679701,0.7696490910187314,0.18913548790044143
0.05863621924845682,0.03613614880138477,0.4991072002448439,0.14935676006802
0.060640707946393646,0.03839257104113452,0.48295457772055705,0.151878528161159
0.05409078492630585,0.03241450997225267,0.7859280000023046,0.12216328984293012
0.055253418151945476,0.031247176562427793,0.4608309674073844,0.11379134698920135
0.056905905687949156,0.03367646919189831,0.4997375019712892,0.1337844107898437
0.05631910248088521,0.03367214883493215,0.609600971985623,0.11235469563101519
0.05047247005675705,0.026648739952720255,0.44413842604020604,0.10221593060190615
