beta,gamma,alpha,l
0.05026929875037554,0.021573301894310115,0.8763245660986103,0.7257395449992828
0.05347960673033161,0.024355422018912797,0.741003123914254,0.8152311254905982
0.043651856962194834,0.013275158212546448,0.9379968208430355,0.38217352186998377
0.05299595073428145,0.023916122350082482,0.56402643157674,0.9464243879129354
0.054954852322478404,0.026878220588188322,0.8380900116833455,0.993128255541717
0.04408787421479138,0.013647572657430353,0.6828991249650697,0.4474661996310465
0.051090132934969466,0.02101869071059946,0.41449970246343615,0.8988491236075318
0.04442803593954108,0.010928516910097753,0.44695482984247537,0.35653270499316647
0.052221046118609026,0.02139755992555657,0.49517232024521063,0.8144512038437438
0.05402223454837453,0.025996314148133103,0.9337494816609226,0.9101659300935855
0.04690901795693831,0.016646483948530463,0.7979250734034131,0.4997808287621758
0.049298915062007266,0.019323837579988686,0.5415853232415206,0.7374310858048279
0.05539054177278619,0.027565670316534688,0.9198232691701776,0.9987175354004786
0.05222112520547785,0.02209491008739677,0.5100950088189203,0.7806033462187916
0.05233847168776411,0.02355609681297806,0.8456146394220985,0.769187479601277
0.04616185843900706,0.008642368234527652,0.19066458983251977,0.45173789121098096
0.04592893500351015,0.015457984473780616,0.552940009480771,0.5491219178532576
0.04822180865934415,0.016605565192046905,0.3338683186705602,0.7592183354536183
0.04890573440653529,0.017188394936106202,0.4911048697434933,0.6143255561020339
0.05191301910547995,0.022847961576301392,0.6836850420154937,0.848342923078973
0.04011911746958213,0.009227518082205493,0.9039004355788514,0.2803339719550193
0.05190877931806721,0.021516478596162583,0.5134499357323311,0.7441993971658409
0.048379168286499505,0.019224005603646233,0.9278456875704423,0.586661439243631
0.04272938359122148,0.01115893223417904,0.5427218224260676,0.3950771276645608
0.05598191668124102,0.027277279664758628,0.7575172038321824,0.9476711592740713
0.05292835600572685,0.02359516545203655,0.5825684242591583,0.9339612489858468
0.055241167489766096,0.02702407351695979,0.8229163154952454,0.931405907894409
0.05229683561237988,0.023502326127139393,0.8810031651446326,0.7873829782891393
